n,k,time_1,time_2,time_3,time_4,time_5,time_avg,time_SD
50,5,0.006,0.004,0.002,0.002,0.002,0.0032,0.00178885438199983
50,10,0.002,0.002,0.001,0.003,0.001,0.0018,0.000836660026534076
100,5,0.008,0.005,0.004,0.003,0.003,0.0046,0.00207364413533277
100,10,0.004,0.003,0.004,0.003,0.004,0.0036,0.000547722557505166
100,50,0.002,0.003,0.003,0.004,0.003,0.003,0.000707106781186548
500,5,0.042,0.038,0.035,0.034,0.032,0.0362,0.00389871773792359
500,10,0.031,0.03,0.03,0.03,0.028,0.0298,0.00109544511501033
500,50,0.027,0.028,0.028,0.027,0.027,0.0274,0.000547722557505167
500,100,0.027,0.027,0.028,0.026,0.026,0.0268,0.000836660026534076
1000,5,0.118,0.118,0.117,0.114,0.112,0.1158,0.00268328157299974
1000,10,0.112,0.111,0.109,0.103,0.09,0.105,0.00908295106229248
1000,50,0.075,0.076,0.074,0.073,0.074,0.0744,0.00114017542509914
1000,100,0.074,0.073,0.074,0.073,0.073,0.0734,0.000547722557505167
5000,5,0.536,0.546,0.561,0.579,0.514,0.5472,0.0246515719579908
5000,10,0.492,0.63,0.532,0.482,0.703,0.5678,0.0955730087420083
5000,50,0.544,0.745,0.581,0.72,0.575,0.633,0.0923336341752018
5000,100,0.556,0.512,0.507,0.549,0.486,0.522,0.029605742686175
5000,1000,0.491,0.487,0.486,0.564,0.485,0.5026,0.034399127895922
10000,5,1.094,1.083,1.066,1.11,1.061,1.0828,0.0201419959289044
10000,10,1.064,1.081,1.086,1.215,1.227,1.1346,0.0794059191748323
10000,50,1.089,1.081,1.082,1.089,1.093,1.0868,0.00511859355682787
10000,100,1.101,1.14,1.102,1.081,1.134,1.1116,0.0247446964014513
10000,1000,1.237,1.074,1.065,1.08,1.085,1.1082,0.0723857720826407
50000,5,5.986,6.703,6.037,6.373,6.526,6.325,0.309618313411853
50000,10,6.116,7.66,6.188,6.236,6.816,6.6032,0.653203796682169
50000,50,7.086,7.103,6.19,6.803,6.243,6.685,0.444364152469571
50000,100,7.73,6.272,7.134,6.777,6.089,6.8004,0.663567856364366
50000,1000,6.712,6.325,7.021,6.156,6.291,6.501,0.356728888653554
100000,5,14.039,13.415,13.714,14.498,13.4,13.8132,0.46343144045263
100000,10,13.709,14.238,14.213,15.917,17.137,15.0428,1.4374624169
100000,50,13.108,14.351,13.587,13.882,14.231,13.8318,0.503801250494677
100000,100,14.086,13.096,13.294,13.059,13.241,13.3552,0.420052020587927
100000,1000,12.8,14.064,13.289,13.349,13.155,13.3314,0.46160405110874
500000,5,74.489,75.082,72.977,71.628,72.527,73.3406,1.42113028959346
500000,10,74.342,73.501,73.087,73.203,72.887,73.404,0.569524362955615
500000,50,73.39,83.111,72.82,73.078,73.142,75.1082,4.478295791928
500000,100,73.179,72.473,73.499,73.593,73.882,73.3252,0.538416381622998
500000,1000,72.109,73.747,74.418,73.197,74.572,73.6086,1.00257633125863
1000000,5,147.277,151.085,150.778,153.804,151.985,150.9858,2.38478881664604
1000000,10,149.566,152.241,150.158,149.541,155.341,151.3694,2.47972181907569
1000000,50,150.373,151.398,152.409,150.21,149.565,150.791,1.11822783903818
1000000,100,153.418,149.629,149.157,152.063,151.008,151.055,1.74913707295912
1000000,1000,150.372,151.831,149.705,149.31,150.812,150.406,0.98605704703125
5000000,5,838.853,834.04,817.008,823.78,833.203,829.3768,8.81043402449615
5000000,10,820.409,818.623,827.355,822.142,824.061,822.518,3.37408135645837
5000000,50,820.525,818.862,828.466,824.727,820.52,822.62,3.92226828506161
5000000,100,824.635,819.705,815.187,819.18,832.289,822.1992,6.56210211746205
5000000,1000,817.121,819,817.153,821.913,820.461,819.1296,2.09034442138132
10000000,5,1702.941,1714.815,1700.391,1712.032,1702.76,1706.5878,6.39682864394535
10000000,10,1717.522,1705.941,1708.515,1712.491,1720.074,1712.9086,5.92983931485498
10000000,50,1699.423,1704.471,1721.18,1707.992,1718.009,1710.215,9.156694135986
10000000,100,1716.504,1699.141,1718.455,1716.431,1718.721,1713.8504,8.29145076569832
10000000,1000,1704.37,1707.589,1723.366,1759.251,1701.478,1719.2108,23.9282838853939
20000000,5,3538.204,3536.093,3540.801,3528.84,3531,3534.9876,4.97636155237936
20000000,10,3534.636,3541.422,3527.957,3548.972,3586.583,3547.914,22.9844736833368
20000000,50,3535.747,3529.355,3549.79,3560.404,3574.324,3549.924,18.2296423854118
20000000,100,3538.298,3574.74,3527.236,3526.989,3535.528,3540.5582,19.7510193964767
20000000,1000,3509.568,3540.803,3540.342,3518.745,3532.155,3528.3226,13.7693417889164
50000000,5,9151.802,9165.296,9121.483,9104.193,9166.068,9141.7684,27.6952152419873
50000000,10,9083.062,9155.393,9115.732,9075.432,9025.317,9090.9872,48.4194186530572
50000000,50,9157.675,9098.805,9081.084,9123.939,9302.237,9152.748,88.3837811422429
50000000,100,9339.639,9327.886,9215.632,9345.629,9378.43,9321.4432,62.0504938554081
50000000,1000,9255.003,9350.391,9299.427,9366.14,9729.255,9400.0432,189.179449539848
